task_id,pair,group1,group2,baseline_group,dtw_median_curves,dtw_ci_lo,dtw_ci_hi,l2_median_curves
c3202e5a,pair2,human_failed,codeit_failed,A,0.0,,,0.0
c3202e5a,pair3,human_success,human_failed,A,62.76,,,7.3521
c35c1b4c,pair3,human_success,human_failed,B,101.6251,,,11.1823
c48954c1,pair3,human_success,human_failed,A,15.7434,,,2.4206
c62e2108,pair3,human_success,human_failed,B,23.8639,,,3.1674
c64f1187,pair3,human_success,human_failed,A,79.3634,,,8.2878
c658a4bd,pair3,human_success,human_failed,A,38.7452,,,4.9721
c663677b,pair3,human_success,human_failed,B,147.5579,,,23.5163
c6e1b8da,pair3,human_success,human_failed,B,39.5536,,,5.4956
c7d4e6ad,pair3,human_success,human_failed,B,68.1859,,,9.19
c87289bb,pair3,human_success,human_failed,B,51.0941,,,5.8715
c8b7cc0f,pair2,human_failed,codeit_failed,A,3.5298,,,0.522
c8b7cc0f,pair3,human_success,human_failed,A,14.6511,,,2.1732
c92b942c,pair3,human_success,human_failed,A,47.3844,,,5.07
c97c0139,pair3,human_success,human_failed,B,266.4805,55.0094,590.6178,32.9668
ca8de6ea,pair3,human_success,human_failed,A,45.0504,,,5.4956
cad67732,pair3,human_success,human_failed,A,78.9738,,,8.5387
cb227835,pair3,human_success,human_failed,B,57.8294,,,10.372
ccd554ac,pair2,human_failed,codeit_failed,A,0.0,0.0,61.7583,0.0
ccd554ac,pair3,human_success,human_failed,A,59.3843,,,6.4648
cd3c21df,pair1,human_success,codeit_success,A,35.3737,35.3737,43.0623,5.2518
cd3c21df,pair2,human_failed,codeit_failed,A,45.141,,,5.6227
cd3c21df,pair3,human_success,human_failed,A,37.6263,,,5.0252
cd3c21df,pair4,codeit_success,codeit_failed,A,41.859,,,5.7483
ce039d91,pair3,human_success,human_failed,B,45.1469,,,6.0506
ce8d95cc,pair3,human_success,human_failed,A,58.3233,,,6.3718
cf133acc,pair3,human_success,human_failed,B,142.0113,,,19.9809
cfb2ce5a,pair3,human_success,human_failed,B,39.8952,20.6488,73.4905,5.1941
d017b73f,pair3,human_success,human_failed,A,52.7034,9.8624,69.1701,6.3124
d19f7514,pair1,human_success,codeit_success,A,17.1199,,,3.3689
d19f7514,pair2,human_failed,codeit_failed,A,17.8161,6.1449,30.6115,2.6306
d19f7514,pair3,human_success,human_failed,A,18.9476,,,2.7628
d19f7514,pair4,codeit_success,codeit_failed,A,9.8732,,,2.6741
d282b262,pair3,human_success,human_failed,B,57.5858,,,6.2912
d2acf2cb,pair2,human_failed,codeit_failed,B,25.477,,,3.869
d2acf2cb,pair3,human_success,human_failed,B,56.5427,,,6.3473
d304284e,pair3,human_success,human_failed,B,194.1138,,,20.5625
