task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit
833dafe3,pair1,2,A,43.3064,60.8706,270
833dafe3,pair1,3,A,47.4408,64.732,270
833dafe3,pair1,4,A,45.1438,61.7346,270
833dafe3,pair1,5,A,58.4748,76.7166,270
833dafe3,pair1,6,A,38.5658,54.6862,270
833dafe3,pair1,7,A,46.2108,63.4032,270
833dafe3,pair1,8,A,39.1767,55.1911,270
84db8fc4,pair1,0,B,23.893,98.5085,33
84db8fc4,pair1,1,B,0.6492,10.0157,33
84f2aca1,pair1,0,B,234.7702,237.8481,4
84f2aca1,pair1,1,B,234.7702,237.8481,4
84f2aca1,pair1,2,B,234.7702,237.8481,4
84f2aca1,pair1,3,B,6.7605,13.119,4
84f2aca1,pair1,4,B,234.7702,237.8481,4
84f2aca1,pair1,5,B,301.3179,310.1046,4
84f2aca1,pair1,6,B,92.8976,106.5157,4
8597cfd7,pair1,0,A,2.5745,14.313,121
8597cfd7,pair1,1,A,0.6567,12.2903,121
8597cfd7,pair1,2,A,2.5745,14.313,121
8597cfd7,pair1,3,A,0.2827,4.0912,121
8597cfd7,pair1,4,A,0.0,1.4847,121
8597cfd7,pair1,5,A,0.0,1.4847,121
8597cfd7,pair1,6,A,2.5745,14.313,121
8597cfd7,pair1,7,A,2.5745,14.313,121
8597cfd7,pair1,8,A,0.2827,4.0912,121
8597cfd7,pair1,9,A,2.5745,14.313,121
8597cfd7,pair1,10,A,0.0,1.4847,121
8e2edd66,pair1,0,A,45.1323,50.7286,27
8e2edd66,pair1,1,A,50.6501,56.2384,27
8e2edd66,pair1,2,A,23.9244,29.7075,27
8e2edd66,pair1,3,A,46.8207,52.428,27
929ab4e9,pair1,0,B,529.1725,1419.0293,42
929ab4e9,pair1,1,B,35.0858,43.9996,42
94133066,pair1,0,A,7.3313,24.6866,11
94133066,pair1,1,A,8.5613,26.3538,11
9a4bb226,pair1,0,A,4.8358,24.8547,58
9a4bb226,pair1,1,A,0.3224,15.4619,58
9a4bb226,pair1,2,A,4.6513,7.2248,58
9a4bb226,pair1,3,A,1.9451,7.4649,58
9a4bb226,pair1,4,A,0.303,13.4652,58
9a4bb226,pair1,5,A,0.2803,11.1741,58
9a4bb226,pair1,6,A,0.2803,11.1741,58
a59b95c0,pair1,0,A,22.7337,22.7337,1
a59b95c0,pair1,1,A,6.7372,6.7372,1
a59b95c0,pair1,2,A,32.9267,32.9267,1
a59b95c0,pair1,3,A,28.2708,28.2708,1
a59b95c0,pair1,4,A,28.7046,28.7046,1
a59b95c0,pair1,5,A,56.0877,56.0877,1
a59b95c0,pair1,6,A,22.7337,22.7337,1
a59b95c0,pair1,7,A,6.3886,6.3886,1
aa18de87,pair1,0,B,18.1809,69.2184,155
aa18de87,pair1,1,B,20.7828,125.0358,155
aa18de87,pair1,2,B,34.596,84.3452,155
aa18de87,pair1,3,B,12.2383,87.3565,155
aa18de87,pair1,4,B,12.2383,87.3565,155
aa18de87,pair1,5,B,0.2664,93.0063,155
bbb1b8b6,pair1,0,A,1.1085,10.2905,11
bbb1b8b6,pair1,1,A,1.8738,7.6027,11
bbb1b8b6,pair1,2,A,2.6829,6.8909,11
bbb1b8b6,pair1,3,A,3.3162,5.953,11
bbb1b8b6,pair1,4,A,1.1085,10.2905,11
bbb1b8b6,pair1,5,A,0.6165,14.1566,11
bbb1b8b6,pair1,6,A,1.1085,10.2905,11
bbb1b8b6,pair1,7,A,0.6165,14.1566,11
bbb1b8b6,pair1,8,A,0.6165,14.1566,11
bc4146bd,pair1,0,A,26.7353,35.6405,138
bc4146bd,pair1,1,A,60.1808,68.9688,138
bc4146bd,pair1,2,A,48.9396,57.8605,138
bc4146bd,pair1,3,A,10.5571,15.2992,138
bc4146bd,pair1,4,A,12.5602,17.6745,138
be03b35f,pair1,0,A,0.0,14.3588,335
be03b35f,pair1,1,A,7.34,39.5586,335
be03b35f,pair1,2,A,0.0,14.3588,335
be03b35f,pair1,3,A,0.0,14.3588,335
be03b35f,pair1,4,A,0.0,14.3588,335
be03b35f,pair1,5,A,0.3482,10.8078,335
be03b35f,pair1,6,A,4.5443,42.3837,335
bf699163,pair1,0,A,12.285,12.285,2
bf699163,pair1,1,A,12.285,12.285,2
bf699163,pair1,2,A,27.1899,27.1899,2
bf699163,pair1,3,A,12.285,12.285,2
bf699163,pair1,4,A,1.3134,1.3134,2
bf699163,pair1,5,A,12.285,12.285,2
bf699163,pair1,6,A,6.6602,6.6602,2
bf699163,pair1,7,A,6.4895,6.4895,2
bf699163,pair1,8,A,6.6602,6.6602,2
cd3c21df,pair1,0,A,4.5275,35.3737,21
cd3c21df,pair1,1,A,4.5275,35.3737,21
cd3c21df,pair1,2,A,4.5275,35.3737,21
cd3c21df,pair1,3,A,29.596,54.3435,21
cd3c21df,pair1,4,A,4.5275,35.3737,21
cd3c21df,pair1,5,A,0.4197,28.7909,21
cd3c21df,pair1,6,A,7.6218,39.5,21
cd3c21df,pair1,7,A,10.0776,42.7981,21
cd3c21df,pair1,8,A,4.5275,35.3737,21
cd3c21df,pair1,9,A,10.0776,42.7981,21
cd3c21df,pair1,10,A,14.7475,47.7475,21
d19f7514,pair1,0,A,3.106,19.7592,61
d19f7514,pair1,1,A,13.9122,35.6089,61
d19f7514,pair1,2,A,4.8381,12.8271,61
d19f7514,pair1,3,A,1.7231,13.1755,61
d4b1c2b1,pair1,0,A,3.9169,24.8541,103
d4b1c2b1,pair1,1,A,0.3232,2.8789,103
d4b1c2b1,pair1,2,A,0.3714,0.495,103
d4b1c2b1,pair1,3,A,1.0726,5.6195,103
d4b1c2b1,pair1,4,A,4.4568,5.5694,103
d4b1c2b1,pair1,5,A,0.2293,23.2299,103
e0fb7511,pair1,0,B,35.7594,52.3291,26
e0fb7511,pair1,1,B,33.3253,63.3615,26
e0fb7511,pair1,2,B,20.805,54.4003,26
e0fb7511,pair1,3,B,11.8853,39.7105,26
e0fb7511,pair1,4,B,33.1681,197.0111,26
e0fb7511,pair1,5,B,18.8453,37.3013,26
e0fb7511,pair1,6,B,28.6055,45.6506,26
e133d23d,pair1,0,A,4.3305,10.0336,137
e133d23d,pair1,1,A,1.1005,10.516,137
e133d23d,pair1,2,A,2.001,13.6563,137
e133d23d,pair1,3,A,3.0363,16.3176,137
e133d23d,pair1,4,A,1.8664,18.3654,137
e133d23d,pair1,5,A,0.7855,6.6007,137
e345f17b,pair1,0,A,2.2411,19.9668,177
e345f17b,pair1,1,A,2.2411,19.9668,177
e345f17b,pair1,2,A,1.6553,11.3818,177
e345f17b,pair1,3,A,11.2713,28.1008,177
e345f17b,pair1,4,A,2.2411,19.9668,177
e66aafb8,pair1,0,A,6.4895,23.092,736
e66aafb8,pair1,1,A,13.8691,46.3908,736
e66aafb8,pair1,2,A,6.4895,23.092,736
e66aafb8,pair1,3,A,4.651,46.6116,736
e66aafb8,pair1,4,A,6.4895,23.092,736
e66aafb8,pair1,5,A,6.0235,18.6431,736
e66aafb8,pair1,6,A,6.4895,23.092,736
e66aafb8,pair1,7,A,9.4612,27.4914,736
e66aafb8,pair1,8,A,6.4895,23.092,736
e66aafb8,pair1,9,A,3.2729,18.2056,736
e7639916,pair1,0,B,14.6825,173.5187,165
e7639916,pair1,1,B,57.6756,126.6638,165
e7639916,pair1,2,B,14.8784,177.7695,165
e7639916,pair1,3,B,60.7437,133.5843,165
e7639916,pair1,4,B,14.8784,177.7695,165
e7639916,pair1,5,B,20.0266,164.871,165
e7639916,pair1,6,B,62.4616,127.0057,165
e7639916,pair1,7,B,27.5315,174.6901,165
e872b94a,pair1,0,A,0.0,14.7475,21
e872b94a,pair1,1,A,0.0,12.2313,21
e872b94a,pair1,2,A,0.0,14.7475,21
e872b94a,pair1,3,A,0.3232,31.2424,21
e872b94a,pair1,4,A,0.0,12.2313,21
e872b94a,pair1,5,A,0.0,12.2313,21
e872b94a,pair1,6,A,0.0,14.7475,21
e872b94a,pair1,7,A,0.0,14.7475,21
e872b94a,pair1,8,A,0.3232,31.2424,21
ea9794b1,pair1,0,A,23.9993,33.2488,16
ea9794b1,pair1,1,A,12.8581,16.6439,16
ed74f2f2,pair1,0,A,5.5272,12.8675,20
ed74f2f2,pair1,1,A,5.5272,12.8675,20
ed74f2f2,pair1,2,A,2.5668,7.3058,20
ed74f2f2,pair1,3,A,3.2614,8.1883,20
ed74f2f2,pair1,4,A,5.5272,12.8675,20
ed74f2f2,pair1,5,A,4.2484,10.4684,20
ed74f2f2,pair1,6,A,5.5272,12.8675,20
ed98d772,pair1,0,A,48.7719,56.2114,113
ed98d772,pair1,1,A,31.906,39.2831,113
ed98d772,pair1,2,A,43.2274,50.8065,113
f0df5ff0,pair1,0,B,9.061,148.204,62
f0df5ff0,pair1,1,B,9.061,148.204,62
f0df5ff0,pair1,2,B,30.2107,153.8129,62
f0df5ff0,pair1,3,B,22.3247,153.5627,62
