task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit,len_human
e872b94a,pair1,1,A,0.0,1.0,8,6
ea9794b1,pair1,0,A,9.48,10.68,16,90
ed74f2f2,pair1,0,A,1.5556,1.5556,12,8
ed74f2f2,pair1,1,A,1.5556,1.5556,12,8
ed74f2f2,pair1,2,A,0.7778,0.7778,12,6
ed74f2f2,pair1,3,A,0.8889,0.8889,12,10
ed74f2f2,pair1,4,A,1.5556,1.5556,12,8
ed74f2f2,pair1,5,A,1.3333,1.3333,12,9
ed74f2f2,pair1,6,A,1.5556,1.5556,12,8
ed98d772,pair1,0,A,3.1667,6.8333,113,9
ed98d772,pair1,1,A,2.4722,4.6389,113,11
ed98d772,pair1,2,A,5.6111,5.6111,113,24
f0df5ff0,pair1,0,B,17.9772,21.25,15,46
f0df5ff0,pair1,1,B,17.9772,21.25,15,46
f0df5ff0,pair1,2,B,26.9999,28.8636,15,49
f0df5ff0,pair1,3,B,24.5681,27.7499,15,48
f0df5ff0,pair1,4,B,33.5908,36.8636,15,84
f0df5ff0,pair1,5,B,26.2045,26.6136,15,48
f0df5ff0,pair1,6,B,17.9772,21.25,15,46
f4081712,pair1,0,A,3.375,6.4583,608,30
f4081712,pair1,1,A,1.8333,4.3333,608,5
f4081712,pair1,2,A,3.125,5.125,608,32
f4081712,pair1,3,A,3.1667,6.1667,608,29
f4081712,pair1,4,A,3.0,6.0,608,27
f4081712,pair1,5,A,3.0,6.0,608,27
f4081712,pair1,6,A,0.75,1.0417,608,58
f4081712,pair1,7,A,3.5833,7.0,608,31
f5aa3634,pair1,0,A,2.5,2.5,5,10
f5aa3634,pair1,1,A,0.5,0.5,5,10
f5aa3634,pair1,2,A,2.1667,2.1667,5,23
f5aa3634,pair1,3,A,0.5,0.5,5,10
f5aa3634,pair1,4,A,2.5,2.5,5,12
f5aa3634,pair1,5,A,2.5,2.5,5,29
f5aa3634,pair1,6,A,2.5,2.5,5,15
f5aa3634,pair1,7,A,2.5,2.5,5,18
f5aa3634,pair1,8,A,2.5,2.5,5,12
f5aa3634,pair1,9,A,2.5,2.5,5,10
f5aa3634,pair1,10,A,2.5,2.5,5,16
00576224,pair2,0,A,12.4444,12.5278,3,52
009d5c81,pair2,0,B,0.1875,1.0,203,27
0692e18c,pair2,0,A,4.4938,5.4321,20,18
0692e18c,pair2,1,A,1.5679,2.5309,20,23
0934a4d8,pair2,0,A,0.0,0.0,40,5
0934a4d8,pair2,1,A,0.0,0.0,40,39
0934a4d8,pair2,2,A,1.037,1.037,40,8
0934a4d8,pair2,3,A,0.0,0.0,40,21
0934a4d8,pair2,4,A,2.4444,3.2593,40,6
0c786b71,pair2,0,A,8.5208,8.6875,3,40
0c9aba6e,pair2,0,A,0.9583,1.0417,2,12
0c9aba6e,pair2,1,A,1.875,1.9583,2,11
0c9aba6e,pair2,2,A,1.8333,2.1042,2,19
12422b43,pair2,0,B,8.1,12.2,4,15
12422b43,pair2,1,B,10.6,30.6,4,26
15696249,pair2,0,A,0.5556,0.8025,107,12
